Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region
Naruto Uzumaki,PU,NRSA-PU-006L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,PU,NRSA-PU-007L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,PU,NRSA-PU-008L4,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kabuto Yakushi,PU,NRSA-PU-001L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Orochimaru,PU,NRSA-PU-002L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,PU,NRSA-PU-003L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Jiraiya,PU,NRSA-PU-004L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Tenten,PU,NRSA-PU-005L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Might Guy,PU,NRSA-PU-006L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,PU,NRSA-PU-007L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,PU,NRSA-PU-008L4,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
PTR-001,PTR,NRSA-PTR-001L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-002,PTR,NRSA-PTR-002L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-003,PTR,NRSA-PTR-003L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-004,PTR,NRSA-PTR-004L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-005,PTR,NRSA-PTR-005L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-006,PTR,NRSA-PTR-006L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-007,PTR,NRSA-PTR-007L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-008,PTR,NRSA-PTR-008L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-009,PTR,NRSA-PTR-009L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-010,PTR,NRSA-PTR-010L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-011,PTR,NRSA-PTR-011L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-012,PTR,NRSA-PTR-012L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-013,PTR,NRSA-PTR-013L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-014,PTR,NRSA-PTR-014L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-015,PTR,NRSA-PTR-015L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-016,PTR,NRSA-PTR-016L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-017,PTR,NRSA-PTR-017L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-018,PTR,NRSA-PTR-018L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-019,PTR,NRSA-PTR-019L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
PTR-020,PTR,NRSA-PTR-020L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
NRSA02-PTR-001,PTR,NRSA-PTR-001L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-002,PTR,NRSA-PTR-002L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-003,PTR,NRSA-PTR-003L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-004,PTR,NRSA-PTR-004L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-005,PTR,NRSA-PTR-005L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-006,PTR,NRSA-PTR-006L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-007,PTR,NRSA-PTR-007L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-008,PTR,NRSA-PTR-008L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-009,PTR,NRSA-PTR-009L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-010,PTR,NRSA-PTR-010L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-011,PTR,NRSA-PTR-011L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-012,PTR,NRSA-PTR-012L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-013,PTR,NRSA-PTR-013L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-014,PTR,NRSA-PTR-014L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-015,PTR,NRSA-PTR-015L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-016,PTR,NRSA-PTR-016L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-017,PTR,NRSA-PTR-017L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-018,PTR,NRSA-PTR-018L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-019,PTR,NRSA-PTR-019L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
NRSA02-PTR-020,PTR,NRSA-PTR-020L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Nar Uzumaki,UR,NRSA-UR-001L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,UR,NRSA-UR-002L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sakura Haruno,UR,NRSA-UR-003L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,UR,NRSA-UR-004L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,UR,NRSA-UR-005L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,UR,NRSA-UR-006L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Iruka Umino,UR,NRSA-UR-007L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Shikamaru Nara,UR,NRSA-UR-008L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Choji Akimichi,UR,NRSA-UR-009L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Ino Yamanaka,UR,NRSA-UR-010L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Neji Hyuga,UR,NRSA-UR-011L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Rock Lee,UR,NRSA-UR-012L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Tenten,UR,NRSA-UR-013L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Hinata Hygua,UR,NRSA-UR-014L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kiba Inuzuka,UR,NRSA-UR-015L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Orochimaru,UR,NRSA-UR-001L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Shikamaru Nara,UR,NRSA-UR-002L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kabuto Yakushi,UR,NRSA-UR-003L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Anko Mitarashi,UR,NRSA-UR-004L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Might Guy,UR,NRSA-UR-005L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,UR,NRSA-UR-006L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,UR,NRSA-UR-007L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kiba Inuzuka,UR,NRSA-UR-008L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Hiruzen Sarutobi,UR,NRSA-UR-009L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Ibiki Morino,UR,NRSA-UR-010L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Temari,UR,NRSA-UR-011L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,UR,NRSA-UR-012L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,UR,NRSA-UR-013L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Jiraiya,UR,NRSA-UR-014L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sasuke Uchiha,UR,NRSA-UR-015L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Haku,SSR,NRSA-SSR-001L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SSR,NRSA-SSR-002L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,SSR,NRSA-SSR-003L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,SSR,NRSA-SSR-004L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,SSR,NRSA-SSR-005L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SSR,NRSA-SSR-006L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,SSR,NRSA-SSR-007L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SSR,NRSA-SSR-008L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SSR,NRSA-SSR-009L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,SSR,NRSA-SSR-010L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SSR,NRSA-SSR-011L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,SSR,NRSA-SSR-012L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,SSR,NRSA-SSR-013L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,SSR,NRSA-SSR-014L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,SSR,NRSA-SSR-015L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SSR,NRSA-SSR-016L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SSR,NRSA-SSR-017L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SSR,NRSA-SSR-018L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SSR,NRSA-SSR-019L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SSR,NRSA-SSR-020L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SSR,NRSA-SSR-021L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,SSR,NRSA-SSR-022L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,SSR,NRSA-SSR-023L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,SSR,NRSA-SSR-024L3,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Hinata Hyuga,SSR,NRSA-SSR-001L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,SSR,NRSA-SSR-002L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,SSR,NRSA-SSR-003L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,SSR,NRSA-SSR-004L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kiba Inuzuka,SSR,NRSA-SSR-005L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,SSR,NRSA-SSR-006L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sakura Haruno,SSR,NRSA-SSR-007L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Ino Yamanaka,SSR,NRSA-SSR-008L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sasuke Uchiha,SSR,NRSA-SSR-009L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Orochimaru,SSR,NRSA-SSR-010L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Orochimaru,SSR,NRSA-SSR-011L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Anko Mitarashi,SSR,NRSA-SSR-012L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,SSR,NRSA-SSR-013L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,SSR,NRSA-SSR-014L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,SSR,NRSA-SSR-015L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,SSR,NRSA-SSR-016L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kabuto Yakushi,SSR,NRSA-SSR-017L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Hinata Hyuga,SSR,NRSA-SSR-018L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Choji Akimichi,SSR,NRSA-SSR-019L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Ino Yamanaka,SSR,NRSA-SSR-020L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Shikamaru Nara,SSR,NRSA-SSR-021L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kiba Inuzuka,SSR,NRSA-SSR-022L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Shino Aburame,SSR,NRSA-SSR-023L3,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Haku,SR,NRSA-SR-001L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Haku,SR,NRSA-SR-002L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Tazuna,SR,NRSA-SR-003L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SR,NRSA-SR-004L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi Hatake,SR,NRSA-SR-005L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SR,NRSA-SR-006L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SR,NRSA-SR-007L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SR,NRSA-SR-008L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SR,NRSA-SR-009L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Naruto Uzumaki,SR,NRSA-SR-010L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Mizuki,SR,NRSA-SR-011L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sakura Haruno,SR,NRSA-SR-012L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sakura Haruno,SR,NRSA-SR-013L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Iruka Umino,SR,NRSA-SR-014L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Hiruzen Sarutobi,SR,NRSA-SR-015L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,SR,NRSA-SR-016L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,SR,NRSA-SR-017L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Zabuza Momochi,SR,NRSA-SR-018L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,SR,NRSA-SR-019L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Sasuke Uchiha,SR,NRSA-SR-020L2,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Hinata Hyuga,SR,NRSA-SR-001L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Choji Akimichi,SR,NRSA-SR-002L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Choji Akimichi,SR,NRSA-SR-003L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kabuto Yakushi,SR,NRSA-SR-004L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Anko Mitarashi,SR,NRSA-SR-005L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Ino Yamanaka,SR,NRSA-SR-006L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Ino Yamanaka,SR,NRSA-SR-007L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Orochimaru,SR,NRSA-SR-008L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,SR,NRSA-SR-009L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Naruto Uzumaki,SR,NRSA-SR-010L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Neji Hyuga,SR,NRSA-SR-011L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Kiba Inuzuka,SR,NRSA-SR-012L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Ibiki Morino,SR,NRSA-SR-013L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Temari,SR,NRSA-SR-014L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Gaara,SR,NRSA-SR-015L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,SR,NRSA-SR-016L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Rock Lee,SR,NRSA-SR-017L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sakura Haruno,SR,NRSA-SR-018L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sakura Haruno,SR,NRSA-SR-019L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Sasuke Uchiha,SR,NRSA-SR-020L2,NRSA,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,SEA
Enter: Naruto Uzumaki! 1,R,NRSA-R-001L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Enter: Naruto Uzumaki! 2,R,NRSA-R-002L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Enter: Naruto Uzumaki! 3,R,NRSA-R-003L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Enter: Naruto Uzumaki! 4,R,NRSA-R-004L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Enter: Naruto Uzumaki! 5,R,NRSA-R-005L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
You Failed! Kakashi's Final Decision 1,R,NRSA-R-006L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
You Failed! Kakashi's Final Decision 2,R,NRSA-R-007L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
You Failed! Kakashi's Final Decision 3,R,NRSA-R-008L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
You Failed! Kakashi's Final Decision 4,R,NRSA-R-009L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
You Failed! Kakashi's Final Decision 5,R,NRSA-R-010L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
A Dangerous Mission! Journey to the Land of Waves! 1,R,NRSA-R-011L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
A Dangerous Mission! Journey to the Land of Waves! 2,R,NRSA-R-012L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
A Dangerous Mission! Journey to the Land of Waves! 3,R,NRSA-R-013L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
A Dangerous Mission! Journey to the Land of Waves! 4,R,NRSA-R-014L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
A Dangerous Mission! Journey to the Land of Waves! 5,R,NRSA-R-015L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Assassin of the Mist! 1,R,NRSA-R-016L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Assassin of the Mist! 2,R,NRSA-R-017L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Assassin of the Mist! 3,R,NRSA-R-018L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Assassin of the Mist! 4,R,NRSA-R-019L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Assassin of the Mist! 5,R,NRSA-R-020L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Oath of Pain 1,R,NRSA-R-021L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Oath of Pain 2,R,NRSA-R-022L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Oath of Pain 3,R,NRSA-R-023L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Oath of Pain 4,R,NRSA-R-024L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
The Oath of Pain 5,R,NRSA-R-025L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi: Sharingan Warrior 1,R,NRSA-R-026L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi: Sharingan Warrior 2,R,NRSA-R-027L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi: Sharingan Warrior 3,R,NRSA-R-028L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi: Sharingan Warrior 4,R,NRSA-R-029L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
Kakashi: Sharingan Warrior 5,R,NRSA-R-030L1,NRSA,Smriti Heaven Scroll English Series 1,Tier 4,Wave 6,KAYOU,SEA
