Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region
NRSA02-PTR-007,PTR,NRSA02-PTR-007L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-008,PTR,NRSA02-PTR-008L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-009,PTR,NRSA02-PTR-009L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-010,PTR,NRSA02-PTR-010L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-011,PTR,NRSA02-PTR-011L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-012,PTR,NRSA02-PTR-012L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-013,PTR,NRSA02-PTR-013L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-014,PTR,NRSA02-PTR-014L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-015,PTR,NRSA02-PTR-015L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-016,PTR,NRSA02-PTR-016L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-017,PTR,NRSA02-PTR-017L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-018,PTR,NRSA02-PTR-018L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
NRSA02-PTR-019,PTR,NRSA02-PTR-019L3,NRSA02,Smriti Chapter Jin English Series 2,Tier 4,Wave 7,KAYOU,US
