Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
Haku,PU,NRSA01-PU-008L4,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
Kabuto Yakushi,PU,NRSA02-PU-001L4,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Orochimaru,PU,NRSA02-PU-002L4,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Naruto Uzumaki,PU,NRSA02-PU-003L4,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Jiraiya,PU,NRSA02-PU-004L4,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Tenten,PU,NRSA02-PU-005L4,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Might Guy,PU,NRSA02-PU-006L4,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Rock Lee,PU,NRSA02-PU-007L4,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
Neji Hyuga,PU,NRSA02-PU-008L4,NRSA02,US English Heaven Scroll 2,Tier 4,Wave 7,KAYOU,US,December 2025
PTR-001,PTR,NRSA01-PTR-001L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-002,PTR,NRSA01-PTR-002L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-003,PTR,NRSA01-PTR-003L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-004,PTR,NRSA01-PTR-004L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
PTR-005,PTR,NRSA01-PTR-005L3,NRSA01,US English Heaven Scroll 1,Tier 4,Wave 6,KAYOU,US,October 2025
