Name,Rarity,Card_ID,Set_ID,Set_Name,Chinese_Tier,Chinese_Wave,Licensed_Manufacturer,Region,Release_Date
Sasuke Uchiha,SSR,NRV01-SSR-003L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku,SSR,NRV01-SSR-004L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Zabuza Momochi,SSR,NRV01-SSR-005L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-006L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-007L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-008L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-009L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Zabuza Momochi,SSR,NRV01-SSR-010L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-011L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-012L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku,SSR,NRV01-SSR-013L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku,SSR,NRV01-SSR-014L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku,SSR,NRV01-SSR-015L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-016L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-017L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-018L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-019L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-020L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-021L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-022L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-023L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Zabuza Momochi,SSR,NRV01-SSR-024L3,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku,SR,NRV01-SR-001L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Haku,SR,NRV01-SR-002L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Tazuna,SR,NRV01-SR-003L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,SR,NRV01-SR-004L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Kakashi Hatake,SR,NRV01-SR-005L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-006L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-007L2,NRV01,SEA English Jin 1,Tier 4,Wave 6,KAYOU,SEA,June 2025
