Name,Rarity,Card_ID,Set_ID,Region,Release_Date
Sasuke Uchiha,PU,NRV01-PU-005L4,NRV01,SEA,June 2025
Naruto Uzumaki,PU,NRV01-PU-006L4,NRV01,SEA,June 2025
Zabuza Momochi,PU,NRV01-PU-007L4,NRV01,SEA,June 2025
Haku,PU,NRV01-PU-008L4,NRV01,SEA,June 2025
PTR-001,PTR,NRV01-PTR-001L3,NRV01,SEA,June 2025
PTR-002,PTR,NRV01-PTR-002L3,NRV01,SEA,June 2025
PTR-003,PTR,NRV01-PTR-003L3,NRV01,SEA,June 2025
PTR-004,PTR,NRV01-PTR-004L3,NRV01,SEA,June 2025
PTR-005,PTR,NRV01-PTR-005L3,NRV01,SEA,June 2025
PTR-006,PTR,NRV01-PTR-006L3,NRV01,SEA,June 2025
PTR-007,PTR,NRV01-PTR-007L3,NRV01,SEA,June 2025
PTR-008,PTR,NRV01-PTR-008L3,NRV01,SEA,June 2025
PTR-009,PTR,NRV01-PTR-009L3,NRV01,SEA,June 2025
PTR-010,PTR,NRV01-PTR-010L3,NRV01,SEA,June 2025
PTR-011,PTR,NRV01-PTR-011L3,NRV01,SEA,June 2025
PTR-012,PTR,NRV01-PTR-012L3,NRV01,SEA,June 2025
PTR-013,PTR,NRV01-PTR-013L3,NRV01,SEA,June 2025
PTR-014,PTR,NRV01-PTR-014L3,NRV01,SEA,June 2025
PTR-015,PTR,NRV01-PTR-015L3,NRV01,SEA,June 2025
PTR-016,PTR,NRV01-PTR-016L3,NRV01,SEA,June 2025
PTR-017,PTR,NRV01-PTR-017L3,NRV01,SEA,June 2025
PTR-018,PTR,NRV01-PTR-018L3,NRV01,SEA,June 2025
PTR-019,PTR,NRV01-PTR-019L3,NRV01,SEA,June 2025
PTR-020,PTR,NRV01-PTR-020L3,NRV01,SEA,June 2025
Naruto Uzumaki,UR,NRV01-UR-001L3,NRV01,SEA,June 2025
Sasuke Uchiha,UR,NRV01-UR-002L3,NRV01,SEA,June 2025
Sakura Haruno,UR,NRV01-UR-003L3,NRV01,SEA,June 2025
Kakashi Hatake,UR,NRV01-UR-004L3,NRV01,SEA,June 2025
Zabuza Momochi,UR,NRV01-UR-005L3,NRV01,SEA,June 2025
Haku,UR,NRV01-UR-006L3,NRV01,SEA,June 2025
Iruka Umino,UR,NRV01-UR-007L3,NRV01,SEA,June 2025
Shikamaru Nara,UR,NRV01-UR-008L3,NRV01,SEA,June 2025
Choji Akimichi,UR,NRV01-UR-009L3,NRV01,SEA,June 2025
Ino Yamanaka,UR,NRV01-UR-010L3,NRV01,SEA,June 2025
Neji Hyuga,UR,NRV01-UR-011L3,NRV01,SEA,June 2025
Rock Lee,UR,NRV01-UR-012L3,NRV01,SEA,June 2025
Tenten,UR,NRV01-UR-013L3,NRV01,SEA,June 2025
Hinata Hygua,UR,NRV01-UR-014L3,NRV01,SEA,June 2025
Kiba Inuzuka,UR,NRV01-UR-015L3,NRV01,SEA,June 2025
Haku,SSR,NRV01-SSR-001L3,NRV01,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-002L3,NRV01,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-003L3,NRV01,SEA,June 2025
Haku,SSR,NRV01-SSR-004L3,NRV01,SEA,June 2025
Zabuza Momochi,SSR,NRV01-SSR-005L3,NRV01,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-006L3,NRV01,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-007L3,NRV01,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-008L3,NRV01,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-009L3,NRV01,SEA,June 2025
Zabuza Momochi,SSR,NRV01-SSR-010L3,NRV01,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-011L3,NRV01,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-012L3,NRV01,SEA,June 2025
Haku,SSR,NRV01-SSR-013L3,NRV01,SEA,June 2025
Haku,SSR,NRV01-SSR-014L3,NRV01,SEA,June 2025
Haku,SSR,NRV01-SSR-015L3,NRV01,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-016L3,NRV01,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-017L3,NRV01,SEA,June 2025
Kakashi Hatake,SSR,NRV01-SSR-018L3,NRV01,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-019L3,NRV01,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-020L3,NRV01,SEA,June 2025
Naruto Uzumaki,SSR,NRV01-SSR-021L3,NRV01,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-022L3,NRV01,SEA,June 2025
Sasuke Uchiha,SSR,NRV01-SSR-023L3,NRV01,SEA,June 2025
Zabuza Momochi,SSR,NRV01-SSR-024L3,NRV01,SEA,June 2025
Haku,SR,NRV01-SR-001L2,NRV01,SEA,June 2025
Haku,SR,NRV01-SR-002L2,NRV01,SEA,June 2025
Tazuna,SR,NRV01-SR-003L2,NRV01,SEA,June 2025
Kakashi Hatake,SR,NRV01-SR-004L2,NRV01,SEA,June 2025
Kakashi Hatake,SR,NRV01-SR-005L2,NRV01,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-006L2,NRV01,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-007L2,NRV01,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-008L2,NRV01,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-009L2,NRV01,SEA,June 2025
Naruto Uzumaki,SR,NRV01-SR-010L2,NRV01,SEA,June 2025
Mizuki,SR,NRV01-SR-011L2,NRV01,SEA,June 2025
Sakura Haruno,SR,NRV01-SR-012L2,NRV01,SEA,June 2025
Sakura Haruno,SR,NRV01-SR-013L2,NRV01,SEA,June 2025
Iruka Umino,SR,NRV01-SR-014L2,NRV01,SEA,June 2025
Hiruzen Sarutobi,SR,NRV01-SR-015L2,NRV01,SEA,June 2025
Zabuza Momochi,SR,NRV01-SR-016L2,NRV01,SEA,June 2025
Zabuza Momochi,SR,NRV01-SR-017L2,NRV01,SEA,June 2025
Zabuza Momochi,SR,NRV01-SR-018L2,NRV01,SEA,June 2025
Sasuke Uchiha,SR,NRV01-SR-019L2,NRV01,SEA,June 2025
Sasuke Uchiha,SR,NRV01-SR-020L2,NRV01,SEA,June 2025
Enter: Naruto Uzumaki! 1,R,NRV01-R-001L1,NRV01,SEA,June 2025
Enter: Naruto Uzumaki! 2,R,NRV01-R-002L1,NRV01,SEA,June 2025
Enter: Naruto Uzumaki! 3,R,NRV01-R-003L1,NRV01,SEA,June 2025
Enter: Naruto Uzumaki! 4,R,NRV01-R-004L1,NRV01,SEA,June 2025
Enter: Naruto Uzumaki! 5,R,NRV01-R-005L1,NRV01,SEA,June 2025
You Failed! Kakashi's Final Decision 1,R,NRV01-R-006L1,NRV01,SEA,June 2025
You Failed! Kakashi's Final Decision 2,R,NRV01-R-007L1,NRV01,SEA,June 2025
You Failed! Kakashi's Final Decision 3,R,NRV01-R-008L1,NRV01,SEA,June 2025
You Failed! Kakashi's Final Decision 4,R,NRV01-R-009L1,NRV01,SEA,June 2025
You Failed! Kakashi's Final Decision 5,R,NRV01-R-010L1,NRV01,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 1,R,NRV01-R-011L1,NRV01,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 2,R,NRV01-R-012L1,NRV01,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 3,R,NRV01-R-013L1,NRV01,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 4,R,NRV01-R-014L1,NRV01,SEA,June 2025
A Dangerous Mission! Journey to the Land of Waves! 5,R,NRV01-R-015L1,NRV01,SEA,June 2025
The Assassin of the Mist! 1,R,NRV01-R-016L1,NRV01,SEA,June 2025
The Assassin of the Mist! 2,R,NRV01-R-017L1,NRV01,SEA,June 2025
The Assassin of the Mist! 3,R,NRV01-R-018L1,NRV01,SEA,June 2025
The Assassin of the Mist! 4,R,NRV01-R-019L1,NRV01,SEA,June 2025
The Assassin of the Mist! 5,R,NRV01-R-020L1,NRV01,SEA,June 2025
The Oath of Pain 1,R,NRV01-R-021L1,NRV01,SEA,June 2025
The Oath of Pain 2,R,NRV01-R-022L1,NRV01,SEA,June 2025
The Oath of Pain 3,R,NRV01-R-023L1,NRV01,SEA,June 2025
The Oath of Pain 4,R,NRV01-R-024L1,NRV01,SEA,June 2025
The Oath of Pain 5,R,NRV01-R-025L1,NRV01,SEA,June 2025
Kakashi: Sharingan Warrior 1,R,NRV01-R-026L1,NRV01,SEA,June 2025
Kakashi: Sharingan Warrior 2,R,NRV01-R-027L1,NRV01,SEA,June 2025
Kakashi: Sharingan Warrior 3,R,NRV01-R-028L1,NRV01,SEA,June 2025
Kakashi: Sharingan Warrior 4,R,NRV01-R-029L1,NRV01,SEA,June 2025
Kakashi: Sharingan Warrior 5,R,NRV01-R-030L1,NRV01,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 1,R,NRV01-R-031L1,NRV01,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 2,R,NRV01-R-032L1,NRV01,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 3,R,NRV01-R-033L1,NRV01,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 4,R,NRV01-R-034L1,NRV01,SEA,June 2025
Battle on the Bridge! Zabuza Returns! 5,R,NRV01-R-035L1,NRV01,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 1,R,NRV01-R-036L1,NRV01,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 2,R,NRV01-R-037L1,NRV01,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 3,R,NRV01-R-038L1,NRV01,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 4,R,NRV01-R-039L1,NRV01,SEA,June 2025
Haku's Secret Jutsu: Crystal Ice Mirrors 5,R,NRV01-R-040L1,NRV01,SEA,June 2025
The Broken Seal 1,R,NRV01-R-041L1,NRV01,SEA,June 2025
The Broken Seal 2,R,NRV01-R-042L1,NRV01,SEA,June 2025
The Broken Seal 3,R,NRV01-R-043L1,NRV01,SEA,June 2025
The Broken Seal 4,R,NRV01-R-044L1,NRV01,SEA,June 2025
The Broken Seal 5,R,NRV01-R-045L1,NRV01,SEA,June 2025
The Demon in the Snow 1,R,NRV01-R-046L1,NRV01,SEA,June 2025
The Demon in the Snow 2,R,NRV01-R-047L1,NRV01,SEA,June 2025
The Demon in the Snow 3,R,NRV01-R-048L1,NRV01,SEA,June 2025
The Demon in the Snow 4,R,NRV01-R-049L1,NRV01,SEA,June 2025
The Demon in the Snow 5,R,NRV01-R-050L1,NRV01,SEA,June 2025
